prix_maj;prix_valeur;prix_nom
2024-01-15T20:31:00+01:00;0.989;GPLc
2024-01-02T09:34:31+01:00;0.848;E85
;;
;;
;;
;;
2023-11-22T06:11:47+01:00;1.099;E85
;;
2024-01-14T21:34:47+01:00;0.958;E85
;;
;;
;;
;;
2024-01-02T10:31:55+01:00;0.849;E85
2024-01-15T20:31:00+01:00;0.919;GPLc
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-12T13:00:13+01:00;0.959;E85
;;
;;
;;
;;
;;
;;
;;
2024-01-15T19:52:34+01:00;0.919;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2023-10-25T19:36:39+02:00;0.919;GPLc
2024-01-12T10:26:26+01:00;0.899;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-15T06:55:54+01:00;0.909;E85
;;
;;
;;
;;
2024-01-13T09:00:00+01:00;0.939;GPLc
2024-01-16T09:39:33+01:00;0.849;E85
;;
;;
2024-01-04T08:41:20+01:00;0.899;GPLc
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-09T10:34:00+01:00;0.848;E85
;;
;;
2024-01-16T11:32:53+01:00;0.999;E85
;;
;;
;;
;;
;;
2024-01-15T01:01:00+01:00;0.919;E85
;;
;;
;;
;;
;;
;;
2024-01-16T09:48:27+01:00;0.919;E85
;;
;;
2024-01-13T09:03:46+01:00;0.92;GPLc
;;
;;
;;
;;
2024-01-15T20:31:00+01:00;0.919;E85
;;
;;
